Date,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
11/28/2020,366,133.1649079,198.44987,52.2531497,41.28852084,60.66332834,39.55064687,1.008754862,10.7495301,31.49474097,4.140843022,22.51062674,1.214315209
11/29/2020,346,129.46582,192.0940463,50.81238471,38.85749822,58.22680316,39.49862963,1.120063425,10.80157551,32.18974472,3.902278646,21.11983227,1.206493771
11/30/2020,289,126.1951651,190.9111962,53.69469373,40.87398281,61.92394395,39.98952593,1.102328289,11.05396852,32.08745902,3.912962389,21.54633574,1.19843817
12/1/2020,297,126.0497496,193.7742078,53.29898385,41.88025869,62.18213667,40.18055202,1.138455158,10.61987876,31.93963003,4.119944942,23.03680835,1.29482173
12/2/2020,268,126.9379674,195.6726569,53.2658013,41.84650878,61.44496127,40.57016724,1.211848973,10.9286459,31.96911194,4.13934467,22.96542121,1.251088477
12/3/2020,259,129.2426104,197.746841,53.93677434,40.59281471,61.13824156,40.46408727,1.357658877,10.64870645,32.10597873,4.266810734,23.47912558,1.340922703
12/4/2020,327,128.6693247,195.3460092,50.36833531,38.84396794,57.6139805,40.25261022,1.312008493,10.46486984,31.45349455,4.088710257,22.54223885,1.405743728
12/5/2020,384,128.088191,186.2365163,49.55714565,37.37768218,54.51723121,40.93761503,1.390033548,9.916145004,28.86090908,3.991057487,21.70680052,1.215618278
12/6/2020,299,129.0261142,183.6408623,47.33581211,34.90803851,50.66090733,41.15938176,1.555568696,9.975847827,29.40995011,3.754330837,20.13012602,1.184984302
12/7/2020,282,130.18736,186.304176,49.51588864,36.93068648,53.03275169,41.90433133,1.586670447,10.24370213,29.1619151,3.768310491,20.3756556,1.156610185
12/8/2020,442,134.2012765,193.0485613,48.51437732,37.99040443,52.09262529,42.32973207,1.665197663,9.834106843,28.88059936,3.980125645,21.69443901,1.235868966
12/9/2020,309,138.9168207,198.8111486,47.98705233,38.0588456,50.31353028,42.93471078,1.773617189,10.17734027,28.80064241,4.005935664,21.46472668,1.178771725
12/10/2020,270,144.6662374,204.6787637,48.28747203,36.95642744,49.14687831,43.02612967,1.946268852,9.942442311,28.86324598,4.14138733,21.83714342,1.259418828
12/11/2020,239,147.114154,205.9468474,44.48036536,35.40706144,44.96574804,42.99576083,1.918613092,9.81445714,28.18177176,3.97279745,20.77917974,1.319481207
12/12/2020,214,149.0995603,200.3283471,43.56682562,34.18631696,41.43120038,43.84712381,2.005282919,9.332238516,25.61419647,3.886078941,19.84546761,1.129104536
12/13/2020,166,152.1283592,200.9935338,41.37990625,32.00485316,37.36667004,44.22214226,2.169781676,9.468548798,26.24930627,3.66155647,18.19527042,1.10263037
12/14/2020,234,154.8938307,206.6372875,43.72761636,34.35364378,39.76466362,45.10872363,2.190013304,9.822164665,26.15354123,3.688804396,18.39328585,1.082558323
12/15/2020,331,160.0240557,216.0342601,43.01952919,35.77159882,39.08393322,45.66531575,2.247866402,9.506162064,26.09373441,3.914696164,19.69110392,1.173828797
12/16/2020,327,165.3759381,224.077742,42.90032467,36.22340902,37.79054204,46.39178391,2.326019577,9.949150761,26.3053328,3.955089415,19.46679089,1.131870213
